Phyllum,Subphyllym ,Superclass ,Class ,Subclass ,Superorder,Order,Suborder,Infraorder,Parvorder,Superfamily,Family,Specie,Sitio,Latitud,Longitude,Altitude,Habitat_type,Reference,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Guallatire,-18.480,-70.260,3100,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Salar de Surire,-18.830,-69.030,4260,Shallow saline lake,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Bofedal de Arabilla,-19.230,-68.850,4000,River,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Salado river,-20.340,-68.650,2784,River,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Loa river - Santa Bárbara,-21.970,-68.600,3304,River,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Conchi reservoir,-22.000,-68.600,3272,Reservoir,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Salado river,-20.340,-68.650,2784,River,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Loa river - Santa Bárbara,-21.970,-68.600,3304,River,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Conchi reservoir,-22.000,-68.600,3272,Reservoir,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Loa river - Puente Posada,-22.260,-69.550,3200,River,De los Rios-Escalante et al 2023,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Caspana river,-22.280,-68.230,3200,River,De los Rios-Escalante et al 2023,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",El Tatio,-22.350,-68.000,4264,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Putana,-22.530,-67.860,4600,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Caspana river,-22.280,-68.230,3200,River,De los Rios-Escalante et al 2023,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",El Tatio,-22.350,-68.000,4264,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Putana,-22.530,-67.860,4600,Wetland,"Gonzalez, 2003",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Guatin,-22.760,-68.060,3996,Wetland,Muñoz-Pedreros et al 2019,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Toconao,-23.180,-68.000,2475,Reservoir,"De los Ríos-Escalante, 2011",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",La Chimba-4,-23.200,-70.350,500,Wetland,"De los Rios, 2019",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Salvador river,-23.390,-69.510,2300,River,De los Rios et al 2010,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Miscanti lagoon,-67.780,-67.780,4140,Lagoon,"De los Ríos-Escalante, 2011",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Miscanti lagoon,-67.780,-67.780,4129,Lagoon,"De los Ríos-Escalante, 2011",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Quebrada Zorritas,-24.550,-68.650,3849,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Quebrada Zorritas,-24.560,-68.650,4070,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella fossamanchini Cavalieri, 1959",Entrada P.N. Llullaillaco,-24.560,-68.650,4070,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Miscanti lagoon,-23.730,-67.780,4140,Lagoon,"De los Ríos-Escalante, 2011",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Miscanti lagoon,-23.750,-67.780,4129,Lagoon,"De los Ríos-Escalante, 2011",,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Quebrada Zorritas,-24.550,-68.650,3849,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Quebrada Zorritas,-24.560,-68.650,4070,Stream,De los Rios et al 2019a,,,,,
Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Taliridira,Hyaloidea,Hyalellidae,"Hyalella kochi Gonzalez & Watling, 2001",Entrada P.N. Llullaillaco,-24.560,-68.650,4070,Stream,De los Rios et al 2019a,,,,,
