scientific_name,month,river_seg,lat,long,elevation,mean_annual_ppt,ratio_valleywidth_to_valleyfloorwidth,ord_str,qd_sd
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,2,5717,-36,-72,89.8125,73.93333588,3.637341519,6,3290.497922
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton marinus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Aplochiton taeniatus,2,6775,-39,-73,91.29090909,139.761904,7.73398954,4,195.4099444
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,12,6185,-35,-72,42.15384615,70.0416654,2.680632787,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,3,5372,-35,-72,28.65137615,69.65,4.354146694,7,5570.866652
Australoheros facetus,2,5764,-36,-72,81.12037037,71.27777863,4.391394707,6,3290.497922
Australoheros facetus,2,5764,-36,-72,81.12037037,71.27777863,4.391394707,6,3290.497922
Australoheros facetus,4,6187,-35,-72,34.48484848,70.86666718,4.428001112,7,5570.866652
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Australoheros facetus,1,6150,-35,-72,54.2,70.59523664,6.287205955,5,1275.259419
Basilichthys microlepidotus,1,1760,-38,-73,79.125,103.338334,1.344648499,6,6261.697266
Basilichthys microlepidotus,1,1760,-38,-73,79.125,103.338334,1.344648499,6,6261.697266
Basilichthys microlepidotus,2,5993,-36,-72,99.35238095,70.95833333,2.351056413,6,1160.414781
Basilichthys microlepidotus,4,1524,-37,-73,74.05737705,102.6450002,1.207989798,6,3526.717392
Basilichthys microlepidotus,12,1918,-37,-72,338.9216418,111.7864594,2.509841725,5,967.7092813
Basilichthys microlepidotus,12,1918,-37,-72,338.9216418,111.7864594,2.509841725,5,967.7092813
Basilichthys microlepidotus,12,1918,-37,-72,338.9216418,111.7864594,2.509841725,5,967.7092813
Basilichthys microlepidotus,1,1524,-37,-73,74.05737705,102.6450002,1.207989798,6,3526.717392
Basilichthys microlepidotus,2,3610,-34,-71,162.90625,43.16341121,5.718709548,2,1750.389286
Basilichthys microlepidotus,12,1918,-37,-72,338.9216418,111.7864594,2.509841725,5,967.7092813
Basilichthys microlepidotus,2,5993,-36,-72,99.35238095,70.95833333,2.351056413,6,1160.414781
